WKT;codvia;numportal;anyo;empresa;modelo;productor_;tipo_carga;tipo;tipovia;calleempre
"POINT (-0.405238829707046 39.455286319037633)";57960;33;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C.N.;NUEVO DE PICAÃ?A
"POINT (-0.389180159750892 39.464391790162885)";73950;6;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;TRES FORQUES
"POINT (-0.389594960957247 39.464379486821606)";73950;10;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;TRES FORQUES
"POINT (-0.391516264319956 39.464295701093469)";73950;30;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;TRES FORQUES
"POINT (-0.392676065838663 39.464249124922979)";73950;40;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;TRES FORQUES
"POINT (-0.393182306621675 39.464228229733791)";73950;44;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;TRES FORQUES
"POINT (-0.394043248006872 39.464799148604826)";27570;33;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;ENGUERA
"POINT (-0.394432045014795 39.465013447547399)";27570;6;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;ENGUERA
"POINT (-0.39425258845481 39.464559162729181)";27570;14;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;ENGUERA
"POINT (-0.394264537540039 39.464136817450452)";73950;52;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;TRES FORQUES
"POINT (-0.395244584318564 39.46408551842341)";73950;62;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;TRES FORQUES
"POINT (-0.400915994211236 39.461923292069294)";31530;61;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;FRAY JUNIPERO SERRA
"POINT (-0.400892533178106 39.461929118625513)";31530;61;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;FRAY JUNIPERO SERRA
"POINT (-0.400858904509538 39.461103372840874)";31530;57;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;FRAY JUNIPERO SERRA
"POINT (-0.400838890679123 39.460687473458606)";31530;51;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;FRAY JUNIPERO SERRA
"POINT (-0.400933157268922 39.460454793139249)";81214;5;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;DOCTOR PEREZ FELIU
"POINT (-0.401505185164955 39.460576266854339)";81214;12;2012;SAV;RR-3.200;DOMICILIARIA;LATERAL DERECHA;RESIDUOS URBANOS;C;DOCTOR PEREZ FELIU
