calleempre,Numero
2¬™ REPUBLICA ESPA√?OLA,2
3 DE ABRIL DE 1979,2
9 DE OCTUBRE,1
ABADIA SAN MARTIN,4
ABADIA SAN NICOLAS,3
ABASTOS,3
ABEN AL ABBAR,24
ACACIAS,4
ACEQUIA DE LA CADENA,5
ACEQUIA FABIANA,1
ACTOR ENRIQUE RAMBAL,4
ACTOR LLORENS,5
ACTOR MAURI,3
ACTOR MORA,4
ACTRIZ ENCARNA MA√?EZ,2
ACTRIZ PEPITA SERRADOR,1
ADOR,14
ADRESADORS,4
ADZANETA,2
AGUSTI ALAMAN I RODRIGO (MUSIC),3
AGUSTINA DE ARAGON,3
ALABAU,6
ALABAU Y ARCE,4
ALACREUS,1
ALAMEDA,50
"ALAMO, EL",4
ALBA,5
ALBACETE,27
ALBALAT DELS TARONGERS,12
ALBENTOSA,10
ALBERIQUE,17
ALBEROLA,1
ALBERTO LUZ,1
ALBOCACER,18
ALBORAYA,36
ALBUIXECH,2
ALCACER,22
ALCALA DE CHIVERT,2
ALCALDE ALBORS,11
ALCALDE CANO COLOMA,3
ALCALDE GISBERT RICO,11
ALCALDE REIG,9
ALCA√?IZ,20
ALCIRA,10
ALCOY,2
ALCUDIA,2
ALEGRET,1
ALEJANDRO VI,2
ALEJANDRO VOLTA,7
ALEMANY,8
ALFAHUIR,33
ALFAMBRA,1
ALFARA DEL PATRIARCA,10
ALFARRASI,5
ALFONSO DE CORDOBA,6
ALFONSO EL MAGNANIMO,12
ALFONSO PE√?A,4
ALFRED TORAN I OLMOS (ESCULTOR),2
ALFREDO CANDEL (RECTOR PARROQUIA SANTA ANNA),3
ALGAR DEL PALANCIA,4
"ALGUER, L'",4
"ALGUER, L?",18
ALICANTE,4
ALMACERA,4
ALMANSA,1
ALMAZORA,20
ALMENAR,3
ALMIRANTE CADARSO,13
ALMIRANTE CRUILLES,1
ALMISERAT,2
ALMOINES,2
ALMUDIN,6
ALPUENTE,1
ALQUERIA AZNAR,3
ALQUERIA BENLLOCH,1
ALQUERIA DE ALBA,1
ALQUERIA DE AZNAR,1
ALQUERIA DE GINER,6
"ALQUERIA DE LA COMTESA, L'",1
"ALQUERIA DE LA COMTESA, L?",5
ALQUERIA DE LA ESTRELLA,10
ALQUERIA DE RATA,1
"ALQUERIA DEL FORN DE LA SOLA, L?",1
ALQUERIA DEL SABONERS,1
ALQUERIAS,2
ALQUERIAS DE BELLVER,11
"ALT MAESTRAT, L?",1
"ALT PALANCIA, L?",3
ALTA,15
ALTA DEL MAR,6
ALTAMIRA,1
ALTAR SAN VICENTE,3
ALTER,1
ALVAREZ DE SOTOMAYOR,5
ALVARO DE BAZAN,11
ALZINES,2
AMADEO DE SABOYA,15
AMADEO DESFILIS,6
AMADEO ROCA (PINTOR),5
AMADIS DE GAULA,4
AMADOR MARTINEZ ROCHINA (POETA),2
AMERICA,5
AMICS DEL CORPUS,3
"AMISTAT, L'",1
"AMISTAT, L?",2
AMPARO BALLESTER,6
ANDILLA,5
ANGEL,3
ANGEL DEL ALCAZAR,11
ANGEL GUIMERA,14
ANGEL VILLENA,6
"ANGEL VILLENA,",1
ANGELES,9
ANOUERS,3
ANTELLA,2
ANTIGA SENDA SENENT,9
ANTIGUA SENDA SENENT,2
ANTONI REIG I VENTURA (ROVELLET),1
ANTONIO FERRANDIS (ACTOR),8
ANTONIO JUAN,9
ANTONIO PONZ,7
ANTONIO SACRAMENTO (ESCULTOR),17
ANTONIO SUAREZ,8
APARICIO ALBI√?ANA,11
APOSTOL SAN PEDRO,2
ARABISTA AMBROSIO HUICI,4
ARAGON,40
ARBOL,3
ARBOLES,2
ARCHENA,7
ARCHIDUQUE CARLOS,67
ARGENTERS,4
ARMADA ESPA√êOLA,2
ARNALDO DE VILANOVA,3
AROLAS,8
ARQUITECTO ALFARO,21
ARQUITECTO ALMENAR,1
ARQUITECTO ARNAU,10
ARQUITECTO CARBONELL,4
ARQUITECTO GILABERT,6
ARQUITECTO LUCINI,4
ARQUITECTO MORA,2
ARQUITECTO RIBES,3
ARQUITECTO RODRIGUEZ,19
ARQUITECTO SEGURA DE LAGO,4
ARQUITECTO SEGURA DEL LAGO,14
ARQUITECTO TOLSA,6
ARTE MAYOR DE LA SEDA,7
ARTES,10
ARTES GRAFICAS,21
ARTES Y OFICIOS,12
ARTURO BALLESTER,5
ARTURO PIERA,4
ARZOBISPO COMPANY,4
ARZOBISPO FABIAN Y FUERO,10
ARZOBISPO MAYORAL,8
ARZOBISPO MELO,3
ARZOBISPO OLAECHEA,23
ASTILLEROS,6
ASTURIAS,12
ATARAZANAS,1
AURORA,5
AUSIAS MARCH,62
AUTOPISTA DEL SALER,32
"AUTOR, L'",3
AVE MARIA,1
AVELLANAS,1
AYORA,13
AYUNTAMIENTO,29
AZAGADOR DE ALBORAYA,1
AZAGADOR DE LA TORRE,1
AZAGADOR DE LAS MONJAS,5
AZAGADOR DEL MORRO,6
AZCARRAGA,2
AZUCENA,1
"BACHILLER, EL",21
BADAJOZ,7
BAEZA,2
BAILEN,7
BAILIA,2
BAJA,3
BAJA DEL MAR,6
BALADRE,1
BALEARES,47
BALES,1
BALMES,11
BANY,2
BANY DELS PAVESOS,2
BARCAS,8
BARCELONA,3
BARCELONINA,6
BARCO,2
BARIG,3
BARON CARCER,10
BARON DE CARCER,24
BARON DE HERVES,1
BARON DE SAN PETRILLO,10
BARRACA,30
BARRAQUES DE LLACER,1
BEATA,2
BEATA INES,3
BEATO JUAN GRANDE,5
BEATO NICOLAS FACTOR,16
BECHI,4
BELCHITE,4
BELGICA,19
BELLO,5
BELLREGUARD,1
BELTRAN BAGENA,7
BELTRAN B√ÅGUENA,1
BENASAL,3
BENEFICENCIA,2
BENET BOSCH,3
BENETUSER,1
BENICADELL,4
BENICANDEL,1
BENICANDELL,1
BENICARLO,13
BENICASIM,1
BENIDOLEIG,2
BENIFAIRO DE LES VALLS,1
BENIFAIRO DE VALLDIGNA,1
BENIFARAIG A MONCADA,3
BENIFERRI,5
BENIMODO,3
BENIMUSLEM,3
BENIOPA,5
BENISODA,1
BENISUERA,2
BERENGUER DE MONTOLIU,5
BERENGUER MALLOL,3
BERNABE GARCIA,7
