codvia,Numero
10020,1
10140,5
10200,13
10230,1
10290,3
10350,3
10560,11
10590,3
10620,2
10650,5
10770,1
10800,3
10830,5
10890,8
10950,2
10980,2
11010,11
11070,7
1110,11
11100,1
11160,18
1140,27
11400,9
11460,1
11550,6
11580,2
11610,6
11670,6
11700,3
11790,6
11880,5
11910,3
12030,8
12060,1
12180,23
12210,4
12240,1
12270,2
12300,2
12330,16
12360,3
12390,8
12480,9
12540,70
12570,14
12600,17
12630,4
12660,14
12720,72
12750,3
12780,3
12870,3
1290,10
12930,1
12960,16
13050,4
13080,3
13140,5
1320,17
13200,1
13230,6
13290,19
13350,4
13380,10
13440,5
13470,3
1350,1
13500,4
13590,4
13620,15
13650,1
13680,3
13710,10
13740,14
1380,18
13800,26
13860,1
13890,20
13920,42
14130,5
14220,5
14250,7
14280,3
14370,1
1440,35
14460,5
14470,20
14550,1
14610,6
14640,12
1470,1
14700,3
14730,38
14910,4
14970,6
15000,3
15030,1
15060,4
15120,2
15130,2
15210,3
15240,13
15270,2
15300,5
15330,3
15360,7
15390,38
15450,1
15510,3
1590,2
16230,14
1650,22
16530,2
16680,1
16740,2
1680,11
16830,20
16860,1
17010,1
1710,9
17100,1
17160,34
17190,10
17250,10
17280,1
17310,9
17370,9
17400,1
17430,10
17550,5
17610,9
1770,20
17760,29
17790,12
17820,23
17940,2
17970,10
1800,10
18120,2
18180,2
18210,13
18270,2
18330,6
18390,90
18450,2
18540,33
18570,19
1860,2
18600,6
18690,11
18720,14
18750,15
18810,22
19080,9
19110,8
1920,2
19350,21
19380,6
19500,3
19530,10
19590,1
19620,2
19650,2
19740,1
19800,5
19830,2
19860,4
19890,4
19920,15
20010,9
20040,5
20070,7
2010,1
20100,3
20160,1
20190,1
20220,7
20280,24
20310,9
20370,3
20400,4
20430,4
20460,3
20520,8
20550,7
20640,3
20670,18
2070,2
20700,3
20730,1
20790,5
20850,10
20880,3
20910,2
210,24
2100,7
21030,11
21090,23
21120,4
21270,4
21390,1
21420,10
21450,8
21480,1
2160,8
21600,7
21630,19
21660,2
21780,4
21840,5
21870,2
21930,29
22020,35
22050,8
22230,3
22290,1
22350,5
2250,33
22560,4
22650,9
22680,11
22740,20
2280,1
22830,1
22890,7
22920,1
23010,3
23070,3
23130,1
23160,8
23180,8
23220,2
23230,7
23250,4
23280,10
23340,4
23370,14
23400,3
23430,38
23460,3
23490,3
23520,9
23550,5
23610,10
23640,8
23670,8
2370,5
23700,8
23820,49
23850,1
23880,13
2400,42
24000,1
24060,5
24090,2
24150,3
24180,1
24210,8
24240,8
2430,6
24300,12
24330,5
24360,22
24390,2
24420,48
24450,5
24480,5
24540,4
2460,12
24600,2
24630,2
24660,33
24690,16
24750,7
24780,4
24810,5
24840,9
24870,16
2490,4
24990,5
25020,1
25050,6
25080,20
25110,2
25140,14
25170,29
25200,2
25230,2
25260,38
25320,16
25350,4
25380,7
25440,8
25470,9
25530,6
25620,4
25650,4
25680,75
25770,5
25920,2
25950,14
25980,32
26010,7
26040,15
26130,4
26190,16
26340,4
26370,21
26460,20
26490,2
26550,2
26610,3
26670,1
2670,4
26760,5
26790,1
26820,57
26940,2
26970,2
2700,4
27090,2
27120,1
27150,1
27180,5
27210,11
